,player-name,team,age,height,weight,school,country,GP,REB,NETRTG,OREB%,DREB,USG%,TS%,AST%,Season,Pos,G...4,MP...5,G...6,GS,MP...8,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,STL,BLK,TOV,PF,PTS,AST
1,A'ja Wilson,LVA,28,6-4,195,South Carolina,USA,38,11.9,6.3,6.20%,27.00%,31.00%,59.10%,14.00%,23-24,C,38,1308,38,38,34.4,10.1,19.6,0.518,0.5,1.6,0.317,9.6,18,0.536,6.1,7.2,0.844,2.1,11.9,1.8,2.6,1.3,1.8,26.9,2.3
2,Aaliyah Edwards,WAS,22,6-3,-,Connecticut,Canada,34,5.6,-7.4,6.60%,20.50%,17.50%,52.60%,11.30%,23-24,F,34,741,34,17,21.8,3,6.2,0.49,0,0.2,0,3,6,0.507,1.5,2.4,0.65,1.4,5.6,0.7,0.8,1.5,2.7,7.6,1.4
3,Aari McDonald,LAS,26,5-6,141,Arizona,USA,26,2,-5.8,2.20%,7.40%,20.20%,52.90%,29.50%,23-24,G,26,568,26,10,21.8,3,7.3,0.403,1.1,3.5,0.319,1.8,3.8,0.48,1.7,2,0.843,0.5,2,0.9,0.2,1.8,2,8.7,3.7
4,Aerial Powers,ATL,31,5-11,170,Michigan State,USA,17,3.3,-9.4,4.60%,13.10%,24.00%,46.50%,16.10%,23-24,G,17,304,17,2,17.9,2.9,8.1,0.355,0.8,2.1,0.389,2.1,6,0.343,2,2.5,0.791,0.9,3.3,0.9,0.2,1.1,2.1,8.6,1.4
5,Alanna Smith,MIN,28,6-4,183,Stanford,Australia,39,5.6,12.5,6.20%,14.30%,18.20%,57.50%,19.50%,23-24,F,39,1035,39,39,26.5,3.8,8,0.471,1.2,3,0.398,2.6,5,0.515,1.4,1.8,0.75,1.6,5.6,1.4,1.5,1.9,3.1,10.1,3.2
6,Alissa Pili,MIN,23,6-2,235,Utah,USA,22,1.2,-13.3,4.60%,16.40%,21.10%,53.20%,6.80%,23-24,F,22,138,22,0,6.3,0.9,2,0.422,0.4,1.2,0.333,0.5,0.8,0.556,0.3,0.5,0.545,0.3,1.2,0.2,0.1,0.9,1.3,2.4,0.2
7,Aliyah Boston,IND,23,6-5,220,South Carolina,USA,40,8.9,-1.8,9.20%,19.10%,19.90%,56.60%,16.90%,23-24,F-C,40,1236,40,40,30.9,5.9,11.2,0.529,0.2,0.7,0.269,5.7,10.5,0.545,2,2.8,0.736,2.8,8.9,0.9,1.2,2,3.3,14,3.2
8,Allisha Gray,ATL,30,6-0,167,South Carolina,USA,40,4.4,-1.1,3.20%,9.90%,21.40%,52.60%,14.70%,23-24,G,40,1327,40,40,33.2,5.1,12.7,0.403,1.7,5.1,0.342,3.4,7.7,0.443,3.6,4.7,0.769,1.1,4.4,1.1,0.7,1.7,2.4,15.6,2.7
9,Alysha Clark,LVA,37,5-11,167,Middle Tennessee,USA,40,3.6,8.8,2.20%,12.10%,11.90%,58.70%,10.60%,23-24,F,40,972,40,18,24.3,2.1,4.8,0.443,1.2,3.2,0.373,1,1.7,0.576,0.6,0.7,0.821,0.5,3.6,0.8,0.3,1.4,2.7,6,1.8
10,Alyssa Thomas,CON,32,6-2,203,Maryland,USA,40,8.4,7.3,7.70%,20.50%,18.20%,54.30%,40.30%,23-24,F,40,1296,40,40,32.4,4.2,8.2,0.509,0,0.1,0,4.2,8.1,0.516,2.3,3.6,0.628,2.5,8.4,1.6,0.5,3.6,2.1,10.6,7.9
11,Amy Atwell,PHO,26,6-0,165,Hawaii,Australia,6,1,-25.7,5.70%,3.80%,14.30%,43.60%,17.60%,23-24,F,6,59,6,0,9.8,0.7,2.5,0.267,0.5,2.2,0.231,0.2,0.3,0.5,0.7,0.8,0.8,0.5,1,0,0.2,0.3,0.5,2.5,1
12,Angel Reese,CHI,22,6-3,165,Louisiana State,USA,34,13.1,0.8,14.40%,25.10%,21.50%,46.40%,9.20%,23-24,F,34,1104,34,34,32.5,4.8,12.3,0.391,0.1,0.5,0.188,4.7,11.9,0.4,3.9,5.2,0.736,5.1,13.1,1.3,0.5,2.2,3.5,13.6,1.9
