"","Player","Age","Team","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Awards","Season","Player.additional","College","height","weight","Pos_C","Pos_F","Pos_G","Pos_SG"
"1","Tracy McGrady",0.230769230769231,"ORL",0.785714285714286,0.807228915662651,0.916279069767442,0.795081967213115,0.860294117647059,0.417,0.490566037735849,0.583333333333333,0.339,0.645454545454545,0.707207207207207,0.455,0.315333333333333,0.57843137254902,0.609756097560976,0.796,0.259259259259259,0.403508771929825,0.375,0.47008547008547,0.466666666666667,0.162162162162162,0.473684210526316,0.316666666666667,0.775623268698061,"AS,NBA2","03-04",NA,"None",0.6,0.33920704845815,0,0,0,1
"2","Allen Iverson",0.384615384615385,"PHI",0.55952380952381,0.566265060240964,0.976744186046512,0.745901639344262,0.860294117647059,0.387,0.226415094339623,0.310606060606061,0.286,0.718181818181818,0.86936936936937,0.408,0.274666666666667,0.696078431372549,0.772357723577236,0.745,0.12962962962963,0.263157894736842,0.23125,0.581196581196581,0.8,0.027027027027027,0.771929824561404,0.3,0.731301939058172,"AS","03-04",NA,"Georgetown",0.28,0.140969162995595,0,0,0,1
"3","Kevin Garnett",0.346153846153846,"MIN",0.964285714285714,0.987951807228916,0.904651162790698,0.80327868852459,0.720588235294118,0.499,0.0188679245283019,0.0378787878787879,0.256,0.881818181818182,0.86036036036036,0.506,0.334666666666667,0.441176470588235,0.463414634146341,0.791,0.555555555555555,0.956140350877193,0.86875,0.427350427350427,0.5,0.594594594594595,0.456140350877193,0.416666666666667,0.670360110803324,"MVP-1,DPOY-6,AS,NBA1","03-04",NA,"None",0.72,0.47136563876652,0,1,0,0
"4","Kobe Bryant",0.269230769230769,"LAL",0.761904761904762,0.771084337349398,0.862790697674419,0.647540983606557,0.665441176470588,0.438,0.207547169811321,0.25,0.327,0.618181818181818,0.666666666666667,0.463,0.312,0.686274509803922,0.666666666666667,0.852,0.296296296296296,0.342105263157895,0.34375,0.435897435897436,0.566666666666667,0.108108108108108,0.456140350877193,0.45,0.664819944598338,"MVP-5,DPOY-10,AS,NBA1","03-04",NA,"None",0.52,0.383259911894273,0,0,0,1
"5","Ray Allen",0.384615384615385,"SEA",0.654761904761905,0.674698795180723,0.881395348837209,0.655737704918033,0.669117647058823,0.44,0.490566037735849,0.515151515151515,0.392,0.481818181818182,0.513513513513514,0.468,0.341333333333333,0.431372549019608,0.390243902439024,0.904,0.222222222222222,0.342105263157895,0.31875,0.41025641025641,0.433333333333333,0.0540540540540541,0.491228070175439,0.4,0.637119113573407,"AS","03-04",NA,"Connecticut",0.48,0.317180616740088,0,0,0,1
"6","Paul Pierce",0.307692307692308,"BOS",0.94047619047619,0.963855421686747,0.888372093023256,0.614754098360656,0.6875,0.402,0.264150943396226,0.363636363636364,0.299,0.554545454545455,0.626126126126126,0.438,0.294,0.637254901960784,0.642276422764228,0.819,0.166666666666667,0.5,0.40625,0.435897435897436,0.533333333333333,0.189189189189189,0.666666666666667,0.483333333333333,0.637119113573407,"AS","03-04",NA,"Kansas",0.52,0.427312775330396,0,0,0,1
"7","Baron Davis",0.230769230769231,"NOH",0.785714285714286,0.795180722891566,0.92093023255814,0.680327868852459,0.768382352941176,0.395,0.528301886792453,0.659090909090909,0.321,0.5,0.54954954954955,0.448,0.308,0.343137254901961,0.430894308943089,0.673,0.185185185185185,0.289473684210526,0.26875,0.641025641025641,0.8,0.108108108108108,0.56140350877193,0.45,0.634349030470914,"MVP-10,AS,NBA3","03-04",NA,"UCLA",0.4,0.39647577092511,0,0,1,0
"8","Vince Carter",0.346153846153846,"TOR",0.857142857142857,0.879518072289157,0.876744186046512,0.680327868852459,0.735294117647059,0.417,0.245283018867925,0.25,0.383,0.645454545454545,0.747747747747748,0.424,0.299333333333333,0.450980392156863,0.463414634146341,0.806,0.240740740740741,0.307017543859649,0.3,0.41025641025641,0.4,0.243243243243243,0.543859649122807,0.483333333333333,0.623268698060942,"AS","03-04",NA,"North Carolina",0.52,0.405286343612335,0,0,0,1
"9","Tim Duncan",0.346153846153846,"SAS",0.80952380952381,0.819277108433735,0.83953488372093,0.704918032786885,0.628676470588235,0.501,0,0.0151515151515152,0.167,0.781818181818182,0.761261261261261,0.505,0.334666666666667,0.5,0.691056910569106,0.599,0.611111111111111,0.807017543859649,0.775,0.264957264957265,0.3,0.72972972972973,0.473684210526316,0.4,0.617728531855956,"MVP-2,DPOY-7,AS,NBA1","03-04",NA,"Wake Forest",0.76,0.559471365638767,0,1,0,0
"10","Dirk Nowitzki",0.269230769230769,"DAL",0.904761904761905,0.927710843373494,0.869767441860465,0.647540983606557,0.625,0.462,0.245283018867925,0.287878787878788,0.341,0.6,0.594594594594595,0.496,0.333333333333333,0.470588235294118,0.447154471544715,0.877,0.222222222222222,0.657894736842105,0.54375,0.230769230769231,0.4,0.378378378378378,0.31578947368421,0.466666666666667,0.60387811634349,"MVP-10,AS,NBA3","03-04",NA,"None",0.76,0.493392070484582,1,0,0,0
