"","player.name","team","age","height","weight","school","country","GP","REB","NETRTG","OREB.","DREB","USG.","TS.","AST.","Season","G...4","MP...5","G...6","GS","MP...8","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","FT","FTA","FT.","ORB","TRB","STL","BLK","TOV","PF","PTS","AST","Pos_C","Pos_F","Pos_G","Pos_NA"
"1","A'ja Wilson","LVA",0.3,0.6875,0.59349593495935,"South Carolina","USA",0.948717948717949,0.908396946564886,0.913893291072372,"6.2%","27.0%","31.0%","59.1%","14.0%","23-24",0.948717948717949,0.892612859097127,0.948717948717949,0.95,0.886792452830189,1,1,0.776611694152924,0.161290322580645,0.179775280898876,0.317,1,1,0.536,1,1,0.844,0.411764705882353,0.908396946564886,0.857142857142857,1,0.232142857142857,0.45,1,0.273809523809524,1,0,0,0
"2","Aari McDonald","LAS",0.2,0.0625,0.154471544715447,"Arizona","USA",0.641025641025641,0.152671755725191,0.849973586899102,"2.2%","7.4%","20.2%","52.9%","29.5%","23-24",0.641025641025641,0.386456908344733,0.641025641025641,0.25,0.547169811320755,0.297029702970297,0.372448979591837,0.604197901049475,0.354838709677419,0.393258426966292,0.319,0.1875,0.211111111111111,0.48,0.278688524590164,0.277777777777778,0.843,0.0980392156862745,0.152671755725191,0.428571428571429,0.0769230769230769,0.321428571428571,0.5,0.323420074349442,0.44047619047619,0,0,1,0
"3","Aerial Powers","ATL",0.45,0.375,0.390243902439024,"Michigan State","USA",0.41025641025641,0.251908396946565,0.830956154252509,"4.6%","13.1%","24.0%","46.5%","16.1%","23-24",0.41025641025641,0.205882352941176,0.41025641025641,0.05,0.442048517520216,0.287128712871287,0.413265306122449,0.532233883058471,0.258064516129032,0.235955056179775,0.389,0.21875,0.333333333333333,0.343,0.327868852459016,0.347222222222222,0.791,0.176470588235294,0.251908396946565,0.428571428571429,0.0769230769230769,0.196428571428571,0.525,0.319702602230483,0.166666666666667,0,0,1,0
"4","Alanna Smith","MIN",0.3,0.6875,0.495934959349593,"Stanford","Australia",0.974358974358974,0.427480916030534,0.946645536185948,"6.2%","14.3%","18.2%","57.5%","19.5%","23-24",0.974358974358974,0.705882352941177,0.974358974358974,0.975,0.673854447439353,0.376237623762376,0.408163265306122,0.706146926536732,0.387096774193548,0.337078651685393,0.398,0.270833333333333,0.277777777777778,0.515,0.229508196721311,0.25,0.75,0.313725490196078,0.427480916030534,0.666666666666667,0.576923076923077,0.339285714285714,0.775,0.37546468401487,0.380952380952381,0,1,0,0
"5","Alissa Pili","MIN",0.05,0.5625,0.91869918699187,"Utah","USA",0.538461538461538,0.0916030534351145,0.810353935552034,"4.6%","16.4%","21.1%","53.2%","6.8%","23-24",0.538461538461538,0.0923392612859097,0.538461538461538,0,0.129380053908356,0.0891089108910891,0.102040816326531,0.632683658170914,0.129032258064516,0.134831460674157,0.333,0.0520833333333333,0.0444444444444444,0.556,0.0491803278688525,0.0694444444444444,0.545,0.0588235294117647,0.0916030534351145,0.0952380952380952,0.0384615384615385,0.160714285714286,0.325,0.0892193308550186,0.0238095238095238,0,1,0,0
"6","Aliyah Boston","IND",0.05,0.75,0.796747967479675,"South Carolina","USA",1,0.679389312977099,0.871104067617538,"9.2%","19.1%","19.9%","56.6%","16.9%","23-24",1,0.843365253077975,1,1,0.792452830188679,0.584158415841584,0.571428571428571,0.793103448275862,0.0645161290322581,0.0786516853932584,0.269,0.59375,0.583333333333333,0.545,0.327868852459016,0.388888888888889,0.736,0.549019607843137,0.679389312977099,0.428571428571429,0.461538461538462,0.357142857142857,0.825,0.520446096654275,0.380952380952381,0,1,0,0
"7","Allisha Gray","ATL",0.4,0.4375,0.365853658536585,"South Carolina","USA",1,0.33587786259542,0.874801901743265,"3.2%","9.9%","21.4%","52.6%","14.7%","23-24",1,0.905608755129959,1,1,0.8544474393531,0.504950495049505,0.647959183673469,0.604197901049475,0.548387096774194,0.573033707865168,0.342,0.354166666666667,0.427777777777778,0.443,0.59016393442623,0.652777777777778,0.769,0.215686274509804,0.33587786259542,0.523809523809524,0.269230769230769,0.303571428571429,0.6,0.579925650557621,0.321428571428571,0,0,1,0
"8","Alysha Clark","LVA",0.75,0.375,0.365853658536585,"Middle Tennessee","USA",1,0.274809160305344,0.927099841521395,"2.2%","12.1%","11.9%","58.7%","10.6%","23-24",1,0.662790697674419,1,0.45,0.61455525606469,0.207920792079208,0.244897959183673,0.664167916041979,0.387096774193548,0.359550561797753,0.373,0.104166666666667,0.0944444444444444,0.576,0.0983606557377049,0.0972222222222222,0.821,0.0980392156862745,0.274809160305344,0.380952380952381,0.115384615384615,0.25,0.675,0.223048327137546,0.214285714285714,0,1,0,0
"9","Alyssa Thomas","CON",0.5,0.5625,0.658536585365854,"Maryland","USA",1,0.641221374045802,0.919175911251981,"7.7%","20.5%","18.2%","54.3%","40.3%","23-24",1,0.884404924760602,1,1,0.83288409703504,0.415841584158416,0.418367346938775,0.76311844077961,0,0.0112359550561798,0,0.4375,0.45,0.516,0.377049180327869,0.5,0.628,0.490196078431373,0.641221374045802,0.761904761904762,0.192307692307692,0.642857142857143,0.525,0.394052044609665,0.94047619047619,0,1,0,0
"10","Amy Atwell","PHO",0.2,0.4375,0.349593495934959,"Hawaii","Australia",0.128205128205128,0.0763358778625954,0.744849445324881,"5.7%","3.8%","14.3%","43.6%","17.6%","23-24",0.128205128205128,0.0383036935704514,0.128205128205128,0,0.223719676549865,0.0693069306930693,0.127551020408163,0.400299850074962,0.161290322580645,0.247191011235955,0.231,0.0208333333333333,0.0166666666666667,0.5,0.114754098360656,0.111111111111111,0.8,0.0980392156862745,0.0763358778625954,0,0.0769230769230769,0.0535714285714286,0.125,0.0929368029739777,0.119047619047619,0,1,0,0
"11","Angel Reese","CHI",0,0.625,0.349593495934959,"Louisiana State","USA",0.846153846153846,1,0.884838880084522,"14.4%","25.1%","21.5%","46.4%","9.2%","23-24",0.846153846153846,0.753077975376197,0.846153846153846,0.85,0.835579514824798,0.475247524752475,0.627551020408163,0.586206896551724,0.032258064516129,0.0561797752808989,0.188,0.489583333333333,0.661111111111111,0.4,0.639344262295082,0.722222222222222,0.736,1,1,0.619047619047619,0.192307692307692,0.392857142857143,0.875,0.505576208178439,0.226190476190476,0,1,0,0
"12","Ariel Atkins","WAS",0.3,0.3125,0.365853658536585,"Texas-Austin","USA",1,0.259541984732824,0.863180137348125,"3.0%","8.7%","22.8%","55.2%","19.1%","23-24",1,0.816005471956224,1,1,0.765498652291105,0.534653465346535,0.63265306122449,0.655172413793103,0.645161290322581,0.617977528089888,0.357,0.364583333333333,0.383333333333333,0.5,0.344262295081967,0.347222222222222,0.848,0.176470588235294,0.259541984732824,0.714285714285714,0.153846153846154,0.410714285714286,0.7,0.553903345724907,0.369047619047619,0,0,1,0
"13","Arike Ogunbowale","DAL",0.25,0.1875,0.349593495934959,"Notre Dame","USA",0.948717948717949,0.351145038167939,0.837823560486001,"1.9%","10.2%","25.9%","52.0%","22.1%","23-24",0.948717948717949,1,0.948717948717949,0.95,1,0.722772277227723,0.979591836734694,0.574212893553223,0.935483870967742,0.955056179775281,0.346,0.458333333333333,0.594444444444444,0.412,0.754098360655738,0.694444444444444,0.921,0.156862745098039,0.351145038167939,1,0.115384615384615,0.482142857142857,0.7,0.825278810408922,0.607142857142857,0,0,1,0
